TIC,tess_eb_period,tess_eb_morph
263635510,1.7537727,0.336
198280388,0.4884028,0.793
273778807,1.1109005,0.973
290035575,0.9523769,0.616
268610013,1.6796617,0.575
193867475,1.7771916,0.484
27843942,1.5218739,0.472
158393140,0.8768263,0.62
259006174,1.939628,0.322
202442974,2.738921,0.383
147950620,2.3106307,0.221
301072091,7.9062585,0.323
203001339,9.0673009,0.104
170344769,11.259333,0.16
159105847,1.3147148,0.765
158728853,1.6564461,0.474
164554097,9.726541,0.161
356198153,0.4681811,0.86
240178198,1.3826032,0.788
272176884,0.4177289,0.774
281948821,0.1121159,0.507
160228595,2.0922296,0.459
113098812,4.8960145,0.287
441808796,15.4713374,0.244
198537349,9.5785564,0.106
272720444,14.1690365,0.144
356896561,2.2533509,0.455
1883519478,7.6407461,0.125
256368884,4.1991759,0.508
120362128,1.6439225,0.567
273574141,1.0756491,0.522
272781956,1.6504237,0.515
165310952,1.8052185,0.598
137975907,1.7032721,0.453
219435542,7.1989808,0.233
198382838,94.1259026,0.024
99982385,18.5665156,0.504
295803225,6.5603139,0.32
138639253,17.5281048,0.072
120258315,2.9115348,0.54
120576722,0.7891762,0.62
266920154,4.7083128,0.434
138971570,1.5018739,0.533
15795549,0.8911946,0.597
441734144,0.3254052,0.718
122375269,1.8912424,0.56
28304399,0.9526907,0.722
273042299,1.5883099,0.53
170735592,4.2029176,0.537
264508409,0.9744478,0.52
230478637,0.6676539,0.717
263930790,1.1247811,0.647
288312840,0.7592418,0.733
356820646,0.7943807,0.636
229776076,11.2110117,0.154
158660631,2.1781296,0.434
274347939,4.8534171,0.291
121020626,1.5403936,0.505
138098461,1.1600306,0.88
165307617,2.4315122,0.799
12029932,10.5542613,0.733
102929927,5.5293298,0.17
159644070,4.5641925,0.623
121016578,14.0841391,0.19
233546272,1.6591378,0.59
40219040,0.5247287,0.764
199688409,0.8682633,0.627
229910746,2.5063335,0.412
48356677,10.7614629,0.142
103743317,1.5396688,0.543
99920728,2.3585278,0.341
329246824,0.5876813,0.649
138888894,1.3535876,0.822
48450535,4.233826,0.233
377253090,0.4245313,0.672
47757785,15.6793194,0.335
233282561,1.6027527,0.721
424719589,7.6407457,0.124
63454475,1.8674768,0.598
272489100,1.7905209,0.501
170246850,8.4002404,0.203
235718636,1.1888538,0.521
199716496,1.0458364,0.568
28449295,2.3779664,0.279
155894704,1.3574343,0.554
12672792,4.2116316,0.576
154570928,42.6536288,0.047
41998476,2.7809831,0.36
138578906,1.2347531,0.527
298008052,4.363359,0.425
268383780,2.618377,0.487
219096494,8.0741923,0.24
224605072,0.6648758,0.756
270704947,2.6598094,0.481
159105713,0.5749414,0.962
1400770435,13.7432308,0.038
356240274,2.3475876,0.547
258773798,0.3364697,0.849
120684604,2.189082,0.479
14207118,2.7046116,0.626
243319567,0.4392638,0.752
1713419350,0.1296923,0.572
427041696,4.0051767,0.473
237130278,0.4130443,0.856
399788405,0.4304368,0.76
